Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2019-12-23 18:57:41,false,"Washington Running","3.33","266","00:30:05","152","181","3.4","174","198","9:02","7:01","207","208","1.02","0.0","0.0","0.0","0.0","0.0","30:05","0:00","0.0","0:00","No","02:51.01","4","0.0"
Treadmill Running,2019-12-21 16:00:10,false,"Treadmill Running","5.01","410","00:45:43","153","166","3.5","171","189","9:08","7:54","--","--","1.03","0.0","0.0","0.0","0.0","0.0","45:43","0:00","0.0","0:00","No","00:03.15","6","0.0"
Treadmill Running,2019-12-20 17:35:59,false,"Treadmill Running","3.44","299","00:30:06","166","188","3.8","170","191","8:45","8:11","--","--","1.04","0.0","0.0","0.0","0.0","0.0","30:06","0:00","0.0","0:00","No","02:51.72","4","0.0"
Treadmill Running,2019-12-18 18:29:19,false,"Treadmill Running","3.36","290","00:30:06","162","186","3.7","172","193","8:58","8:06","--","--","1.04","0.0","0.0","0.0","0.0","0.0","30:06","0:00","0.0","0:00","No","03:13.89","4","0.0"
Treadmill Running,2019-12-16 17:11:00,false,"Treadmill Running","3.35","282","00:30:07","157","180","3.5","169","189","8:59","8:20","--","--","1.05","0.0","0.0","0.0","0.0","0.0","30:07","0:00","0.0","0:00","No","02:52.56","4","0.0"
Treadmill Running,2019-12-14 18:15:39,false,"Treadmill Running","3.22","292","00:30:03","162","185","3.7","166","191","9:20","7:56","--","--","1.04","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","02:02.86","4","0.0"
Running,2019-12-07 07:32:34,false,"Orlando Running","3.13","232","00:26:28","149","163","3.1","173","193","8:27","7:29","29","23","1.10","0.0","0.0","0.0","0.0","0.0","26:28","0:00","0.0","0:00","No","01:02.19","4","0.0"
Running,2019-11-29 17:20:57,false,"Henry County Running","3.26","245","00:30:01","144","168","2.8","170","200","9:12","8:11","162","165","1.03","0.0","0.0","0.0","0.0","0.0","30:01","0:00","0.0","0:00","No","02:25.11","4","0.0"
Running,2019-11-16 07:38:16,false,"Richmond Running","6.12","370","00:52:56","140","166","3.0","180","201","8:39","7:39","43","30","1.04","0.0","0.0","0.0","0.0","0.0","52:56","0:00","0.0","0:00","No","02:21.23","7","0.0"
Running,2019-11-14 18:07:51,false,"Washington Running","2.01","107","00:17:09","127","157","1.6","181","217","8:32","7:32","180","179","1.04","0.0","0.0","0.0","0.0","0.0","17:09","0:00","0.0","0:00","No","00:03.23","3","0.0"
Running,2019-11-09 10:16:27,false,"Washington Running","6.01","510","00:54:22","161","187","4.1","176","196","9:03","7:19","298","295","1.01","0.0","0.0","0.0","0.0","0.0","54:22","0:00","0.0","0:00","No","00:02.54","7","0.0"
Running,2019-11-06 18:03:19,false,"Washington Running","3.57","263","00:31:18","146","178","2.9","175","192","8:45","7:56","197","166","1.05","0.0","0.0","0.0","0.0","0.0","31:18","0:00","0.0","0:00","No","05:02.44","4","0.0"
Running,2019-11-04 17:41:57,false,"Washington Running","4.60","316","00:40:08","144","158","2.6","176","198","8:44","7:22","302","291","1.05","0.0","0.0","0.0","0.0","0.0","40:08","0:00","0.0","0:00","No","05:19.08","5","0.0"
Running,2019-10-30 05:17:57,false,"Washington Running","3.32","230","00:30:03","141","170","2.4","177","200","9:04","7:34","181","172","1.00","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","02:47.33","4","0.0"
Running,2019-10-28 17:59:17,false,"Washington Running","5.04","452","00:45:13","166","203","4.3","176","202","8:58","7:42","237","223","1.02","0.0","0.0","0.0","0.0","0.0","45:13","0:00","0.0","0:00","No","00:18.97","6","0.0"
Running,2019-10-26 10:46:29,false,"Washington Running","5.00","344","00:45:49","142","154","2.3","174","194","9:09","7:59","225","243","1.01","0.0","0.0","0.0","0.0","0.0","45:49","0:00","0.0","0:00","No","00:01.57","6","0.0"
Running,2019-10-25 06:06:12,false,"Washington Running","3.39","216","00:30:03","136","158","2.3","177","198","8:52","7:21","215","212","1.03","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","03:19.42","4","0.0"
Running,2019-10-23 19:34:18,false,"Washington Running","3.38","259","00:30:08","151","177","3.0","176","202","8:55","7:58","198","197","1.02","0.0","0.0","0.0","0.0","0.0","30:08","0:00","0.0","0:00","No","03:10.57","4","0.0"
Running,2019-10-19 09:47:17,false,"Baltimore Running","13.27","552","01:57:43","127","155","2.0","175","239","8:52","7:29","509","495","1.04","0.0","0.0","0.0","0.0","0.0","1:57:43","0:00","0.0","0:00","No","02:12.48","14","0.0"
Running,2019-10-17 19:41:41,false,"Washington Running","2.00","152","00:18:39","145","158","2.4","179","202","9:18","8:23","158","158","0.97","0.0","0.0","0.0","0.0","0.0","18:39","0:00","0.0","0:00","No","00:02.72","3","0.0"
Running,2019-10-14 19:24:23,false,"Washington Running","3.24","226","00:30:05","143","158","2.3","175","198","9:16","8:09","218","200","0.99","0.0","0.0","0.0","0.0","0.0","30:05","0:00","0.0","0:00","No","02:11.30","4","0.0"
Running,2019-10-12 10:39:47,false,"Washington Running","6.00","413","00:55:35","145","162","2.9","176","200","9:15","7:27","286","291","0.99","0.0","0.0","0.0","0.0","0.0","55:35","0:00","0.0","0:00","No","00:02.80","7","0.0"
Running,2019-10-11 19:23:19,false,"Washington Running","3.31","251","00:30:05","151","180","3.1","179","194","9:05","7:47","221","207","0.99","0.0","0.0","0.0","0.0","0.0","30:05","0:00","0.0","0:00","No","02:50.82","4","0.0"
Running,2019-10-09 18:38:31,false,"Washington Running","3.27","276","00:30:02","160","175","3.3","177","193","9:11","8:00","171","171","0.99","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:26.49","4","0.0"
